2025-12-16 17:03:18,176 - INFO - Starting Google Drive download
2025-12-16 17:04:38,014 - INFO - Download finished in 79.84 seconds
2025-12-16 17:04:38,163 - INFO - Loading allergies | (597, 6)
2025-12-16 17:04:38,407 - INFO - allergies loaded in 0.24 seconds
2025-12-16 17:04:38,441 - INFO - Loading careplans | (3483, 9)
2025-12-16 17:04:38,916 - INFO - careplans loaded in 0.47 seconds
2025-12-16 17:04:38,947 - INFO - Loading conditions | (8376, 6)
2025-12-16 17:04:39,603 - INFO - conditions loaded in 0.66 seconds
2025-12-16 17:04:39,615 - INFO - Loading devices | (78, 7)
2025-12-16 17:04:39,693 - INFO - devices loaded in 0.08 seconds
2025-12-16 17:04:39,974 - INFO - Loading encounters | (53346, 15)
2025-12-16 17:04:44,281 - INFO - encounters loaded in 4.31 seconds
2025-12-16 17:04:44,304 - INFO - Loading imaging_studies | (855, 10)
2025-12-16 17:04:44,644 - INFO - imaging_studies loaded in 0.34 seconds
2025-12-16 17:04:44,686 - INFO - Loading immunizations | (15478, 6)
2025-12-16 17:04:46,390 - INFO - immunizations loaded in 1.7 seconds
2025-12-16 17:04:46,562 - INFO - Loading medications | (42989, 13)
2025-12-16 17:04:50,190 - INFO - medications loaded in 3.63 seconds
2025-12-16 17:04:50,652 - INFO - Loading observations | (299697, 8)
2025-12-16 17:05:02,861 - INFO - observations loaded in 12.21 seconds
2025-12-16 17:05:02,886 - INFO - Loading organizations | (1119, 11)
2025-12-16 17:05:03,326 - INFO - organizations loaded in 0.44 seconds
2025-12-16 17:05:03,349 - INFO - Loading patients | (1171, 25)
2025-12-16 17:05:03,922 - INFO - patients loaded in 0.57 seconds
2025-12-16 17:05:03,935 - INFO - Loading payers | (10, 21)
2025-12-16 17:05:04,505 - INFO - payers loaded in 0.57 seconds
2025-12-16 17:05:04,525 - INFO - Loading payer_transitions | (3801, 5)
2025-12-16 17:05:05,232 - INFO - payer_transitions loaded in 0.71 seconds
2025-12-16 17:05:05,317 - INFO - Loading procedures | (34981, 8)
2025-12-16 17:05:08,746 - INFO - procedures loaded in 3.43 seconds
2025-12-16 17:05:08,779 - INFO - Loading providers | (5855, 12)
2025-12-16 17:05:09,663 - INFO - providers loaded in 0.88 seconds
2025-12-16 17:05:09,674 - INFO - Loading supplies | (0, 6)
2025-12-16 17:05:09,736 - INFO - supplies loaded in 0.06 seconds
